Site_ID,Site,core,depth,Dry_weight,moisture,ARYL,BG,NAG,PHOS,XYLO,Phen_ox,,,
P_2_S,palsa,2,5,0.235,0.762,152.99,1534.16,759.24,42612.95,424.77,-0.12,,,
B_2_M,bog,2,10,0.077,0.922,1278.09,2290.23,1569.87,1477.18,1957,-0.2545,,,
P_2_M,palsa,2,10,0.219,0.781,147.86,842.03,576.08,18471.03,478.53,-0.081,,,
B_3_M,bog,3,10,0.057,0.944,616.33,2950.6,1757.63,3649.37,1788.07,-0.2611,,,
F_1_M,fen,1,10,0.051,0.950,674.57,7071.79,4261.96,7926.77,1184.75,-0.0109,,,
F_1_D,fen,1,20,0.043,0.957,512.60,1863.8,2291.69,2755.24,1199.58,0.1101,,,
B_1_D,bog,1,20,0.094,0.906,619.02,1349.75,373.9,2096.71,469.73,0.1053,,,
B_3_D,bog,3,20,0.078,0.922,260.04,3862.34,1351.91,4322.96,563.42,0.1473,,,
F_1_S,fen,1,5,0.080,0.919,374.52,5399.3,2679.11,4417.67,818.55,0.208,,,
F_3_M,fen,3,10,0.057,0.944,1480.71,4085.75,5856.08,5371.79,1648.69,0.2345,,,
F_2_D,fen,2,20,0.047,0.953,-1247.65,3858.88,1925.85,956.55,-1341.45,-0.4597,,,
P_1_D,palsa,1,20,0.179,0.822,433.30,1603.95,993.02,6614.27,1145.21,0.0852,,,
B_3_S,bog,3,5,0.045,0.956,2383.31,5581.92,6852.03,14909.56,4716.36,-0.4963,,,
B_2_S,bog,2,5,0.056,0.944,3464.85,2915.9,2970.23,5435.88,4252.35,-0.4319,,,
F_3_S,fen,3,5,0.096,0.904,849.64,5392.59,2797.42,4763.93,988.64,2.39,,,
F_3_D,fen,3,20,0.050,0.950,1326.69,3347.6,4806.34,4341.92,1798.99,0.5843,,,
B_1_M,bog,1,10,0.082,0.918,1571.67,7082.6,2577.22,3969.01,2814.67,-0.1784,,,
P_1_S,palsa,1,5,0.200,0.801,197.15,1029.25,618.34,4045.72,474.71,-0.1138,,,
P_3_S,palsa,3,5,0.110,0.891,575.51,1711.78,1256.51,7175.44,1377.25,-0.2491,,,
F_2_M,fen,2,10,0.053,0.947,2477.75,8990.19,7814.98,3058.86,5070.1,-0.3527,,,
F_2_S,fen,2,5,0.054,0.946,1420.25,5513.99,3782.76,-3997.08,3049.51,-0.5547,,,
B_2_D,bog,2,20,0.060,0.941,2003.53,3403.51,2128.77,-14787.43,2399.41,-0.5812,,,
P_3_D,palsa,3,20,0.187,0.812,416.36,2227.82,908.43,32311.01,1245.42,-0.1645,,,
P_2_D,palsa,2,20,0.223,0.780,404.20,2532.28,1535.86,51961.95,1163.28,0.1207,,,
P_1_M,palsa,1,10,0.210,0.790,193.49,1223.27,980.91,3023.39,490.3,-0.2505,,,
P_3_M,palsa,3,10,0.232,0.769,355.02,1371.81,1339.19,18940.78,779.8,-0.1761,,,
B_1_S,bog,1,5,0.031,0.969,5540.43,4451.7,4048.72,15910.95,6788.46,-0.9882,,,
